u	e	y
0.199264096509	0.096250795468	0.295514891976
-0.155599634184	0.203574098033	0.047974463850
-0.296426690387	-0.094577174909	-0.391003865296
-0.313376090828	0.100707202199	-0.212668888629
0.064954319425	-0.319536594395	-0.254582274971
0.755147021460	0.099771579201	0.854918600661
1.113882446540	0.174465918520	1.288348365060
-0.307892864470	0.049469822081	-0.258423042390
0.142658407372	0.048466338279	0.191124745650
-0.096399464259	-0.071080638198	-0.167480102457
-0.297189874698	0.040996598830	-0.256193275867
0.300960689463	0.164607509497	0.465568198960
-0.301942377652	0.132753575605	-0.169188802047
0.493748302071	-0.051271297257	0.442477004814
0.684178522356	-0.097458670394	0.586719851962
-0.006022828266	0.015640557338	0.009617729073
1.346412573710	-0.091961413679	1.254451160030
-0.160321109417	-0.099516109967	-0.259837219384
-0.295310555010	-0.201633825058	-0.496944380069
1.392988062240	0.119330002234	1.512318064470
0.867454006340	0.105886421611	0.973340427951
0.298189735106	0.168467474327	0.466657209433
-0.299015519068	-0.070922582204	-0.369938101272
-0.317954359545	0.102974190927	-0.214980168618
-0.053693449780	0.085691897544	0.031998447764
